timestamp,symbol,strategy,stage,block_reason
2025-12-05T09:57:52.946Z,AUDUSD,sma_trend_ride,attempt,POSITION_LIMIT
2025-12-05T09:57:53.278Z,XETCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:53.920Z,CVXUSD,mean_reversion,attempt,
2025-12-05T09:57:54.282Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:54.569Z,ETHFIEUR,mean_reversion,attempt,
2025-12-05T09:57:54.938Z,ETHFIEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:55.596Z,DOTEUR,mean_reversion,attempt,
2025-12-05T09:57:55.931Z,ETHFIUSD,mean_reversion,attempt,
2025-12-05T09:57:55.968Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:56.308Z,ETHFIUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:56.951Z,DOTGBP,mean_reversion,attempt,
2025-12-05T09:57:57.041Z,EURCAD,vwap_pullback,attempt,
2025-12-05T09:57:57.324Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:57.417Z,EURCAD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:57:57.962Z,EWTUSD,mean_reversion,attempt,
2025-12-05T09:57:58.037Z,DOTUSD,mean_reversion,attempt,
2025-12-05T09:57:58.398Z,EWTUSD,mean_reversion,attempt,MAX_POSITION
